,duration,energy,power,min_pitch,max_pitch,mean_pitch,pitch_sd,pitch_abs,pitch_quant,pitchUvsVRatio,Time:8,iDifference,diffPitchMaxMin,diffPitchMaxMean,diffPitchMaxMode,intensityMin,intensityMax,intensityMean,intensitySD,intensityQuant,diffIntMaxMin,diffIntMaxMean,diffIntMaxMode,avgVal1,avgVal2,avgVal3,avgBand1,avgBand2,avgBand3,fmean1,fmean2,fmean3,f2meanf1,f3meanf1,f1STD,f2STD,f3STD,f2STDf1,f2STDf2,jitter,shimmer,jitterRap,meanPeriod,percentUnvoiced,numVoiceBreaks,PercentBreaks,speakRate,numPause,maxDurPause,avgDurPause,TotDurPause:3,iInterval,MaxRising:3,MaxFalling:3,AvgTotRis:3,AvgTotFall:3,numRising,numFall,loudness,Worker,Overall,RecommendHiring,Colleague,Engaged,Excited,SpeakingRate,NoFillers,Friendly,Paused,EngagingTone,StructuredAnswers,Calm,NotStressed,Focused,Authentic,NotAwkward,Total
p13,51.04985833333333,0.0016175233972239463,2.927823747484477e-05,75.1415981321392,332.370097186444,181.1561048221745,41.081781265296385,249.1549377648981,189.41658666431823,1.1124068189221454,51.023054168,55.825700432130645,257.22849905430473,151.2139923642695,142.95351052212573,31.83158483994161,61.57682010646236,48.554542731358886,6.242897634283118,44.6080566765312,29.745235266520744,13.022277375103466,16.96876342993115,621.2613807571411,1898.7575569805492,0.0,492.083382148208,678.4766697891343,0.0,621.2613807571408,1898.7575569805485,2939.574063075903,3.058960400688157,4.735106903558077,360.2897222630365,380.0242727401319,410.5944952175034,1.0593682197723504,1.1435511626814727,0.022278,0.171692,0.011972,0.0055028154,0.448168,113.8,0.49184,0.00048661353443416164,37.0,2.6508249999999998,0.6952,25.077199999999998,118.6,186.6008,166.8634,31.682000000000006,19.613799999999998,77.4,420.37142429335773,,0.0,3.0,3.0,0.8,0.8,0.4,0.6,0.6,0.6,1.2,0.4,1.0,1.0,1.2,1.2,1.2,0.6,74.0
p14,42.79725833333334,0.011513589377084282,0.00026275992845915135,75.49096866304674,384.9558911315672,192.32651723862142,44.02081903828193,241.95646313822294,187.60417736344365,0.970134279482522,42.771129168,163.8481860175521,309.4649224685205,192.6293738929458,197.3517137681236,34.666896164718445,73.45942180390799,57.75763669916379,7.782636542903466,52.655151963788306,38.79252563918954,15.7017851047442,20.804269840119684,690.1054327761847,1970.312359913405,0.0,481.94276440973,616.7041837259163,0.0,690.1054327761847,1970.312359913404,3011.0756779297526,2.8575019843071496,4.367879527753264,369.4052550521045,396.0838908267252,395.0685777708694,1.075142257478128,1.0701030377518586,0.021051999999999998,0.154732,0.011080000000000001,0.005200936200000001,0.419416,102.2,0.456476,0.0005776558354899449,39.6,2.1217208333333337,0.623,24.877999999999997,105.8,229.6732,199.878,26.1658,20.5398,62.2,4380.94512511265,,0.0,6.0,6.0,1.2,1.2,0.8,0.8,1.2,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.0,105.0
p15,85.91430000000001,0.011883792791502007,0.00013617602899219767,69.31472114130614,403.3664343028728,170.82746014251168,42.59668721306093,230.651946027565,169.3193641111787,0.9976576840810714,85.887775,68.16973780866626,334.0517131615666,232.53897416036108,234.04707019169405,33.79690980935211,70.1825454164821,55.255877513401344,7.7838485061078115,50.91195079295831,36.38563560712998,14.926667903080737,19.270594623523785,642.3252926319235,1829.3086241927854,0.0,428.0828039609619,534.661946774846,0.0,642.3252926319237,1829.3086241927845,2844.840548070405,2.8490903105169894,4.430299400606106,329.2107801832069,394.80035622895946,376.5145495672092,1.201479873209842,1.143717056528888,0.020336,0.16069,0.010724000000000001,0.005853713799999999,0.4293380000000001,206.4,0.4918620000000001,0.00024047173722164527,75.8,2.5813333333333306,0.595,44.528000000000006,215.6,252.04059999999998,253.3656,27.481599999999997,22.3756,118.4,9738.42317178959,,0.0,4.0,4.0,0.8,1.0,0.6,0.8,0.2,1.0,1.2,0.8,0.8,1.0,1.2,1.2,1.0,0.6,80.0
p16,93.37230000000001,0.013743803460147076,0.0001405113210916811,79.78842206245392,391.11859872843445,218.64393563602925,39.541139407021916,215.05796814709055,210.660312860534,1.0942101892433211,93.34552500000001,70.54246865566816,311.3301766659805,172.47466309240522,180.45828586790043,33.25027552147986,71.60060543235063,55.2097307291704,7.825686196563825,50.38928025433843,38.350329910870784,16.39087470318024,21.21132517801221,663.4149723048212,1890.8996602091909,0.0,468.1042207287819,571.1405141000794,0.0,663.4149723048218,1890.8996602091895,2978.3438612261652,2.854436489967714,4.495487265547384,328.8663971436496,393.5558803079642,356.4382280404919,1.1991680854407574,1.0855228779094452,0.019714000000000002,0.161976,0.010539999999999999,0.004573071199999999,0.470322,213.0,0.493382,0.00028423368242457773,78.2,3.9744000000000015,0.6692,52.1648,225.0,237.56900000000002,228.40860000000004,25.148799999999998,16.8984,148.2,7699.235905547156,,0.0,5.0,5.0,1.2,1.2,1.0,0.8,0.8,1.4,1.4,1.2,1.0,1.2,1.4,1.2,1.2,1.2,105.0
p17,48.092983333333336,0.004820335292032298,8.477996220628025e-05,78.35446008966105,379.7986759343659,185.05851730434568,68.88499517975735,229.9713231850197,184.69863116963595,2.381469218036075,48.065866668,32.30781863208236,301.44421584470484,194.74015863002018,195.10004476472994,32.98758378184882,69.46120354293836,51.62860502165044,6.873483252091111,44.133410650829674,36.47361976108954,17.832598521287927,25.32779289210871,698.5159142693079,1887.4017186176093,0.0,602.2895966035619,712.3782441288424,0.0,698.5159142693084,1887.4017186176116,3018.5272856221522,2.7076084745557387,4.335775683103568,372.5947516498175,417.103235407276,392.3197600627856,1.13098683984792,1.0605456650907432,0.020207999999999997,0.16539399999999999,0.010982,0.0054974446,0.625824,91.2,0.5937680000000001,0.0007622420450700583,25.2,7.828566666666669,1.3219999999999998,32.1306,96.8,214.9776,198.267,33.3442,30.9428,54.2,3752.889458382038,,0.0,3.0,2.0,0.8,0.8,0.6,0.8,0.6,1.4,1.2,1.0,0.6,0.6,1.0,1.2,1.2,0.6,79.0
p20,41.078512499999995,0.001888129901878225,4.349469920493034e-05,78.49118298738894,380.42371664152313,200.199613174693,56.067031076939166,289.83425309381016,209.38191005204743,1.0676007099267522,41.05175625,63.46187230526321,301.9325336541342,180.22410346683014,171.0418065894757,33.420524704133605,63.18298111012389,50.178805318992914,6.525551063104965,45.91164127005287,29.762456405990275,13.004175791130962,17.271339840071,678.7259946058473,1877.6725801855355,0.0,560.7708745477432,743.3667419953129,0.0,678.7259946058473,1877.672580185536,2973.0819847101434,2.767319332613195,4.383169220748154,378.50244939434015,410.52576053854943,411.84143691262545,1.0879948654369223,1.0897958750920487,0.029518,0.16462799999999997,0.016205999999999998,0.004993089399999999,0.454452,85.2,0.507674,0.0005683109589049789,31.8,3.857066666666667,0.6452000000000001,21.358,87.0,163.61639999999997,199.0892,31.587,31.139599999999994,50.0,2234.014316980186,,0.0,3.0,4.0,0.8,0.8,0.4,0.8,0.8,0.8,1.2,0.8,0.6,1.0,0.8,1.0,0.6,0.6,72.0
p21,100.3475375,0.013442785137909233,0.0001424810944517653,74.20745505958669,404.6513946561065,201.69863552387838,38.21274570186171,216.5827912672226,194.22053341109014,0.8038950424389337,100.32126874999999,31.577548151991316,330.4439395965198,202.95275913222807,210.43086124501625,33.69220955687126,70.70461218359449,55.31076605594378,7.558334366572287,50.92034997925872,37.012402626723215,15.39384612765071,19.784262204335764,681.577969331561,1861.9535370664053,0.0,453.6670844060727,575.4338301737283,0.0,681.5779693315612,1861.953537066404,2967.7598130127167,2.7356533391678957,4.361146164654167,324.49237934431346,448.69200265336383,377.1266199578409,1.3891394497216913,1.1643223451759508,0.017690000000000004,0.148858,0.009339999999999998,0.0049635002,0.387122,190.4,0.4147679999999999,0.00020163110464791622,78.0,5.489066666666666,0.6688,54.702,197.4,213.2706,260.0356,24.7214,17.6904,122.0,7559.389443777525,,0.0,5.0,5.0,1.2,1.2,0.8,0.8,0.4,1.2,1.2,1.0,1.0,1.2,1.2,1.2,1.4,1.0,96.0
p22,76.10620416666667,0.004604858056285107,5.5794761830805995e-05,68.70180000175563,386.2018014050462,162.45591370012275,57.80723072878145,337.52000267472556,169.47893783300216,1.2333061537954415,76.079977084,118.98721705701341,317.50000140329064,223.74588770492346,216.72286357204402,33.79567039252593,66.45772830775704,50.99692269927891,6.379544839061835,47.1764067197807,32.662057915231095,15.460805608478125,19.28132158797633,652.8556199777778,1807.296222878748,0.0,531.3293279174275,671.8888127389736,0.0,652.8556199777779,1807.296222878748,2893.568813130518,2.7703567278830246,4.4366118816698705,331.06927730278574,413.0819165503832,436.4302682901074,1.2549720722184219,1.3243482873881747,0.030678,0.182594,0.016308,0.0061767820000000005,0.47118000000000004,219.4,0.5159740000000002,0.00039407053880748946,67.8,2.956800000000004,0.62,40.043400000000005,235.4,205.198,206.0806,34.0862,29.2044,135.0,9532.156199299567,,0.0,6.0,6.0,1.2,1.2,0.6,0.6,0.8,0.8,1.2,0.6,1.2,1.2,1.2,1.2,1.2,1.0,93.0
p24,66.58061666666667,0.017878408963332183,0.0002493484255812527,76.73106720269811,413.36399743692675,215.89805273257048,48.094144780110064,275.4885005569223,206.1161631334548,0.6296562867097755,66.554058334,81.65546081298353,336.63293023422847,197.46594470435622,207.24783430347188,34.59066630911694,71.26972792547834,57.687218453692665,8.46700844694407,53.65278203391542,36.67906161636139,13.58250947178567,17.616945891562914,642.7226591353023,1817.5910738266932,0.0,380.27110855470056,636.9708986222407,0.0,642.7226591353025,1817.5910738266932,2901.177498470315,2.8283228308563273,4.514674757467811,281.42681641469136,411.638323458384,366.0195899641298,1.4676474379881557,1.3017369014062812,0.020216,0.158788,0.010492000000000001,0.0046342738,0.34986200000000006,135.4,0.36618,0.000290306553251169,53.6,2.6453333333333338,0.6148,32.3968,144.2,231.51839999999999,231.3074,29.5998,16.9604,102.6,4181.310523705347,,0.0,5.0,5.0,1.2,1.2,1.2,0.8,1.0,1.4,1.4,1.0,0.8,1.0,1.0,1.0,1.2,1.0,99.0
p25,71.37288333333333,0.014639689340104812,0.00018284428343198062,72.27410907680427,394.52933449895335,191.86224877381693,65.69211473748275,454.48504628088574,207.8904280423971,1.499362233533819,71.345816664,34.96173060886984,322.255225422149,202.66708572513645,186.63890645655619,36.19706301700096,73.01191800263541,56.38358765941102,7.119298197178061,52.173413909966975,36.81485498563445,16.628330343224388,20.83850409266843,674.3981964571773,1817.5339102232992,0.0,385.63404751776056,527.210114603148,0.0,674.3981964571773,1817.5339102232974,2857.0527481337667,2.6964914487175693,4.238948926457615,296.88251449299196,396.69289902003385,380.95673301791777,1.3367405239346664,1.28349318788559,0.034568,0.19013599999999997,0.018186,0.0051908142,0.478048,233.8,0.5849759999999999,0.0004997897061575773,69.8,2.0288000000000004,0.5456000000000001,40.3694,251.4,240.3904,234.1836,43.5718,39.400999999999996,131.8,11981.577245994917,,0.0,4.0,4.0,0.8,1.0,0.8,0.6,0.2,0.8,1.2,0.8,1.0,1.2,1.0,1.0,1.2,0.6,79.0
p27,32.87705833333334,0.0022700134653345838,6.798848883460581e-05,70.70858010298986,351.82947179953834,176.7076803884611,36.1107376427765,221.15889041086842,172.26417223293797,1.0448191459292042,32.851029166,86.23628800514595,281.1208916965485,175.1217914110772,179.56529956660034,35.66101946731571,65.5465698037154,52.28686562774031,6.173407211643438,49.025830485445574,29.885550336399678,13.259704175975083,16.520739318269825,621.8884940183553,1863.5705787723207,0.0,446.1746045065159,576.5773911124822,0.0,621.888494018356,1863.5705787723218,2816.597839415626,2.9969678193278075,4.530199326767674,293.3464129193438,348.435515686078,387.12855122560757,1.1888140405430805,1.3196572855405422,0.020314,0.18137600000000004,0.010796,0.0056499632,0.4508660000000001,82.6,0.48278600000000005,0.0006467742971270977,28.8,1.5445333333333324,0.51,14.4934,88.2,193.92980000000003,180.3898,25.5734,16.036399999999997,57.0,3133.910265116809,,0.0,5.0,4.0,0.8,1.0,0.6,0.8,0.6,0.8,1.2,0.8,1.0,1.0,1.2,1.2,0.8,0.6,78.0
p29,42.04892083333333,0.003266013104233813,7.096073374650298e-05,65.91978958958373,362.653943686826,179.3359773215399,41.68962061709887,212.92039221115587,173.01367944813236,1.0572064180315526,42.022585418,96.1162394315246,296.73415409724225,183.31796636528608,189.6402642386936,34.93226931432706,67.41283554011116,52.18425943881012,5.852558036067409,48.381606534802984,32.48056622578411,15.22857610130104,19.031229005308184,615.5639279926509,1822.2390571229575,0.0,424.7928493333143,679.3826791985409,0.0,615.5639279926509,1822.2390571229578,2827.321643977484,2.961359172515809,4.594804174745734,302.7809372969767,402.5548867235665,396.24761400309654,1.3300684345125633,1.3095484652761387,0.021636,0.18061,0.011726,0.0055879602,0.459598,107.8,0.47697599999999996,0.0005491310136594455,36.2,2.269433333333334,0.5912,21.605,112.0,185.66379999999998,176.3678,22.5992,17.7194,65.8,4634.054815655929,,0.0,5.0,5.0,1.0,1.0,0.8,0.8,1.0,1.0,1.4,1.2,1.2,1.4,1.4,1.2,1.0,1.2,99.0
p30,29.290170833333338,0.001732465695401576,6.521915719934451e-05,77.60615658356855,356.1978339720353,182.5665943784314,62.716814364095285,221.8293978077294,170.3181483530306,3.8286757398798725,29.263835414,23.611727010037924,278.5916773884668,173.63123959360394,185.8796856190048,35.10880758096495,69.230737095376,50.99256416933608,5.223646271792695,44.295828461235125,34.12192951441104,18.238172926039926,24.93490863414088,719.4994143175497,1987.5528472719477,0.0,618.1494610582489,766.5742360461534,0.0,719.4994143175486,1987.5528472719475,3026.164546650365,2.767027815756818,4.212542622754421,365.70453508319866,372.793732461162,389.1121557716267,1.0317336057728028,1.0698214960203567,0.043662,0.20638199999999998,0.023796,0.0058868656,0.683648,58.2,0.5995959999999999,0.001894289452283706,14.4,4.231812499999998,1.2078,19.1496,61.4,189.07319999999999,187.1966,25.8416,24.64,33.4,1607.0541824301645,,0.0,3.0,2.0,0.8,0.6,0.6,0.4,1.2,1.2,1.2,0.6,0.4,1.0,0.8,0.8,1.2,0.2,71.0
p31,74.38119583333332,0.016025148378438703,0.00020060003974094586,75.68511187146342,386.61385136656133,224.5448183938027,39.0970979740484,273.8636132677557,220.05648720923372,0.8157072332558524,74.353722916,71.7269165066066,310.9287394950979,162.06903297275863,166.55736415732758,35.30015200033911,72.82204269122396,56.856410289668794,7.9022591344727475,51.83790070877276,37.52189069088485,15.96563240155516,20.9841419824512,665.688432039093,1944.891577201047,0.0,461.76900674479987,572.2692254216603,0.0,665.6884320390922,1944.8915772010453,2962.7877739661403,2.927308012891961,4.458063309671287,319.2360512471832,391.8559323850737,377.5729772381571,1.2285516306531155,1.184826408558123,0.02429,0.16348400000000002,0.012882000000000001,0.0044519756,0.41081200000000007,159.6,0.43148,0.0002780252965647634,56.0,3.385600000000001,0.7975999999999999,42.16760000000001,171.4,204.639,205.36640000000003,30.4964,17.9778,114.8,5678.791626170634,,0.0,3.0,3.0,0.8,0.6,0.8,0.6,0.4,0.8,1.2,0.8,0.8,0.8,0.8,0.8,1.0,0.6,69.0
p32,67.24192916666667,0.023919795130379496,0.00033270758108475693,78.08828833849955,395.28624604224484,221.26190708322412,47.40313074288601,301.236240035612,218.616120969689,0.6660265197072928,67.215339584,38.64510380988104,317.19795770374526,174.0243389590207,176.67012507255578,35.48888348067524,74.70912036844715,58.8525291837408,7.763584691828369,53.55630214591641,39.22023688777191,15.85659118470635,21.152818222530737,648.6848584275966,1906.6287327352898,0.0,367.4656465447939,525.4325724101361,0.0,648.6848584275965,1906.62873273529,2938.5366870247203,2.939405271903155,4.530650818414483,298.44055126176255,389.5391406509713,361.80703855563354,1.3052413084922854,1.2129409479560511,0.020010000000000003,0.15358200000000002,0.010530000000000001,0.0045231585999999996,0.349036,151.4,0.377172,0.0004072100178459335,57.6,2.5472000000000015,0.7178,40.854800000000004,161.8,219.6986,219.82779999999997,32.283,22.7966,104.8,5724.842579230657,,0.0,6.0,6.0,1.2,1.2,1.2,0.8,0.4,1.4,1.0,1.2,1.2,1.2,1.4,1.2,1.4,1.2,105.0
